kanji,id,keyword,components,on_reading,kun_reading,stroke_count,jlpt,romaji
減,391,dwindle,water; water droplets; water pistol; march; mouth,ゲン,へ.る; へ.らす,12,N2,gen (ON); he.ru (KUN); he.rasu (KUN)
蔑,392,revile,flowers; eye; cross-eyed; net; march,ベツ,ないがしろ; なみ.する; くらい; さげす.む,14,,betsu (ON); naigashiro (KUN); nami.suru (KUN); kurai (KUN); sagesu.mu (KUN)
桟,393,scaffold,tree; wood; float; fiesta,サン; セン,かけはし,10,N1,san (ON); sen (ON); kakehashi (KUN)
銭,394,coin,metal; gold; float; fiesta,セン; ゼン,ぜに; すき,14,N1,sen (ON); zen (ON); zeni (KUN); suki (KUN)
浅,395,shallow,water; water droplets; water pistol; float; fiesta,セン,あさ.い,9,N2,sen (ON); asa.i (KUN)
止,396,stop,footprint,シ,と.まる; -ど.まり; と.める; -と.める; -ど.め; とど.める; とど.め; とど.まる; や.める; や.む; -や.む; よ.す; -さ.す; -さ.し,4,N4,shi (ON); to.maru (KUN); -do.mari (KUN); to.meru (KUN); -to.meru (KUN); -do.me (KUN); todo.meru (KUN); todo.me (KUN); todo.maru (KUN); ya.meru (KUN); ya.mu (KUN); -ya.mu (KUN); yo.su (KUN); -sa.su (KUN); -sa.shi (KUN)
歩,397,walk,stop; footprint; few,ホ; ブ; フ,ある.く; あゆ.む,8,N4,ho (ON); bu (ON); fu (ON); aru.ku (KUN); ayu.mu (KUN)
渉,398,ford,water; water droplets; water pistol; walk; stop; footprint; few,ショウ,わた.る,11,N1,shou (ON); wata.ru (KUN)
頻,399,repeatedly,walk; stop; footprint; few; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ヒン,しき.りに,17,N1,hin (ON); shiki.rini (KUN)
肯,400,agreement,stop; footprint; moon; month; flesh; part of the body,コウ,がえんじ.る,8,N2,kou (ON); gaenji.ru (KUN)
企,401,undertake,umbrella; stop; footprint,キ,くわだ.てる; たくら.む,6,N1,ki (ON); kuwada.teru (KUN); takura.mu (KUN)
歴,402,curriculum,cliff; grove; tree; wood; stop; footprint,レキ; レッキ,,14,N2,reki (ON); reki (ON)
武,403,warrior,one; arrow; stop; footprint,ブ; ム,たけ.し,8,N2,bu (ON); mu (ON); take.shi (KUN)
賦,404,levy,shellfish; clam; oyster; eye; animal legs; eight; warrior; one; stop; footprint; arrow,フ; ブ,,15,N1,fu (ON); bu (ON)
正,405,correct,one; ceiling; stop; footprint,セイ; ショウ,ただ.しい; ただ.す; まさ; まさ.に,5,N4,sei (ON); shou (ON); tada.shii (KUN); tada.su (KUN); masa (KUN); masa.ni (KUN)
証,406,evidence,say; words; keitai; mouth; correct; one; ceiling; stop; footprint,ショウ,あかし,12,N1,shou (ON); akashi (KUN)
政,407,politics,correct; one; ceiling; stop; footprint; taskmaster,セイ; ショウ,まつりごと; まん,9,N3,sei (ON); shou (ON); matsurigoto (KUN); man (KUN)
定,408,determine,house; mend,テイ; ジョウ,さだ.める; さだ.まる; さだ.か,8,N3,tei (ON); jou (ON); sada.meru (KUN); sada.maru (KUN); sada.ka (KUN)
錠,409,lock,metal; gold; determine; determined; house; mend,ジョウ,,16,N1,jou (ON)
走,410,run,soil; dirt; ground; mend,ソウ,はし.る,7,N4,sou (ON); hashi.ru (KUN)
超,411,transcend,run; soil; dirt; ground; mend; summon; seduce; sword; dagger; mouth,チョウ,こ.える; こ.す,12,N2,chou (ON); ko.eru (KUN); ko.su (KUN)
赴,412,proceed,run; soil; dirt; ground; mend; magic wand; augury,フ,おもむ.く,9,N1,fu (ON); omomu.ku (KUN)
越,413,surpass,run; soil; dirt; ground; mend; parade,エツ; オツ,こ.す; -こ.す; -ご.し; こ.える; -ご.え,12,N3,etsu (ON); otsu (ON); ko.su (KUN); -ko.su (KUN); -go.shi (KUN); ko.eru (KUN); -go.e (KUN)
